
0:	3,4,2,4,3,2,2,2,2,3,
1:	4,2,2,
2:	2,2,2,2,2,2,2,
3:	2,
4:	
5:	2,
6:	3,3,5,5,5,2,2,6,2,3,2,
7:	5,9,2,11,2,4,6,4,6,3,2,2,3,5,
8:	4,11,2,3,3,3,5,3,2,2,2,
9:	14,5,4,4,3,4,7,2,2,2,3,2,4,3,
10:	13,9,2,3,4,7,2,4,3,
11:	6,5,3,2,2,2,5,5,
12:	5,12,4,5,2,4,4,5,5,4,3,4,
13:	2,10,15,2,2,5,3,4,11,2,
14:	2,8,3,5,5,3,5,2,6,5,7,3,
15:	9,6,12,10,6,7,2,6,3,10,6,3,
16:	8,9,12,7,4,6,5,7,2,4,2,3,4,4,6,2,
17:	11,4,5,4,3,2,
18:	7,10,5,2,9,2,3,
19:	11,4,8,6,6,2,4,
20:	11,5,2,4,2,5,3,5,2,2,2,2,
21:	15,17,4,3,3,3,2,3,3,
22:	2,8,10,7,9,7,7,4,2,3,2,2,6,4,2,2,3,4,
23:	3,2,2,5,5,7,4,5,6,2,4,2,4,2,3,2,2,2,
