
0:	
1:	2,
2:	
3:	
4:	
5:	
6:	2,2,
7:	3,3,5,5,4,2,2,2,2,2,2,
8:	3,4,4,14,2,2,2,2,2,2,2,2,2,
9:	2,5,3,3,4,2,6,2,2,2,2,2,2,2,2,2,2,
10:	2,3,5,3,2,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,
11:	2,4,5,2,2,2,3,4,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,
12:	4,3,3,3,2,4,5,3,2,2,3,2,3,2,2,2,2,2,2,2,
13:	3,6,2,3,2,2,2,3,2,2,2,2,2,2,
14:	3,3,2,5,2,3,3,2,3,4,2,2,4,2,2,2,2,
15:	3,5,2,3,2,2,3,2,2,2,2,2,
16:	8,4,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,
17:	3,16,4,5,2,3,5,2,2,3,2,3,2,2,2,2,2,2,2,
18:	7,4,5,6,6,3,2,4,2,4,7,2,2,3,2,2,2,2,2,3,2,2,2,2,
19:	8,2,3,2,3,2,3,2,6,4,2,2,2,2,3,2,2,2,2,2,
20:	3,2,7,3,4,2,3,3,2,2,2,2,2,
21:	2,3,2,2,2,3,2,2,2,2,
22:	4,2,2,3,3,2,2,
23:	2,2,3,2,3,2,
