
0:	3,2,4,2,2,4,2,2,3,3,4,3,2,3,2,2,3,3,2,3,3,2,2,2,2,3,2,2,2,
1:	3,2,2,2,2,4,2,3,4,3,2,5,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,
2:	2,2,2,2,2,4,2,2,3,2,2,2,3,2,2,2,2,3,
3:	2,2,
4:	3,2,2,
5:	2,2,2,2,2,2,2,2,2,
6:	4,4,3,3,5,5,7,2,5,3,6,4,5,3,5,2,4,3,2,2,6,12,2,4,4,6,3,2,2,3,2,3,4,2,9,2,2,3,3,6,5,2,2,2,2,3,3,3,2,2,2,2,
7:	1780,5,9,7,2,2,11,4,2,2,8,4,2,6,6,4,6,4,6,3,2,9,2,2,3,3,2,4,5,5,2,3,2,
8:	2806,4,11,2,8,10,2,4,3,3,3,6,5,4,3,2,4,3,2,4,2,4,4,2,2,
9:	14,2641,5,7,6,10,4,2,5,4,6,3,4,7,2,5,2,2,3,2,2,3,2,5,4,3,3,2,2,4,3,2,5,2,3,2,3,2,4,5,
10:	2883,12,9,4,6,11,3,5,4,5,3,2,5,7,2,6,4,3,2,4,3,4,3,2,4,3,
11:	2801,6,3,5,7,3,2,2,8,3,2,8,2,5,11,5,2,4,2,3,5,2,5,4,2,2,
12:	2690,5,12,4,3,6,5,8,3,2,2,8,4,4,4,5,4,4,4,4,5,3,5,4,2,3,3,3,4,3,2,3,2,2,
13:	2373,4,2,10,15,2,2,5,3,6,5,4,11,3,5,4,6,2,5,6,11,3,2,2,8,3,3,2,2,4,2,2,3,5,2,2,2,2,
14:	2708,2,9,8,3,9,3,5,4,5,3,5,2,4,6,6,4,5,5,5,4,7,2,3,2,3,3,2,2,2,2,
15:	2871,9,6,12,10,6,4,7,2,6,6,3,10,5,3,4,3,3,6,3,4,2,4,2,
16:	8,2989,9,6,12,7,3,4,4,5,5,6,6,3,2,7,2,3,4,2,6,4,5,3,4,4,3,6,6,2,2,2,
17:	3372,11,4,5,2,5,4,4,9,3,9,2,
18:	3313,7,4,10,10,7,2,5,7,5,2,6,9,2,4,10,2,4,2,4,6,3,3,4,5,5,2,
19:	11,3015,4,3,4,8,6,7,6,3,3,3,6,2,4,6,2,4,5,4,4,3,2,2,6,3,2,
20:	11,2062,6,7,5,2,4,6,4,2,6,14,4,3,3,10,5,8,5,6,6,2,4,2,3,4,2,2,4,2,2,3,2,4,
21:	5,1493,15,17,4,8,3,2,5,4,3,2,3,2,3,3,2,2,3,7,3,3,5,2,2,2,2,5,3,3,4,6,2,3,3,2,
22:	2,8,10,593,4,5,10,7,9,5,5,7,5,7,4,4,2,2,2,2,3,5,2,3,2,2,2,4,2,2,2,4,4,2,6,3,2,4,2,2,4,2,2,2,3,2,2,2,2,2,3,3,4,2,2,2,
23:	3,144,14,2,2,2,5,5,5,7,4,4,4,5,5,2,3,5,4,6,2,4,2,3,4,7,3,3,2,2,3,3,4,4,4,3,2,3,4,2,2,5,4,3,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,
