#X Y Z
0 87 10
0 88 10
0 89 10
0 90 10
1 89 10
28 60 20
29 60 20
30 60 20
31 60 20
31 61 20
32 60 20
32 61 20
33 60 20
33 61 20
99 97 30
99 98 30
73 19 40
74 19 40
74 20 40
75 18 40
75 19 40
75 20 40
76 17 40
76 18 40
76 19 40
76 20 40
77 18 40
46 92 50
46 93 50
36 61 60
36 62 60
36 63 60
37 62 60
14 52 70
15 52 70
16 51 70
16 52 70
17 52 70
17 53 70
34 68 80
35 67 80
35 68 80
36 67 80
58 37 90
58 38 90
58 39 90
59 36 90
59 37 90
59 38 90
26 82 100
26 83 100
27 83 100
32 85 110
33 85 110
97 47 120
98 46 120
67 65 130
67 66 130
67 67 130
31 82 140
31 83 140
31 84 140
32 82 140
32 83 140
