
0:	2,2,2,2,2,2,3,2,2,2,2,
1:	2,2,2,2,3,2,3,2,2,2,2,
2:	2,2,2,2,2,
3:	
4:	
5:	2,2,2,2,2,
6:	4,3,5,4,2,4,2,9,3,2,2,2,2,7,2,3,2,2,3,2,2,3,3,2,2,2,2,
7:	667,4,5,5,2,10,6,2,5,3,3,6,5,3,2,3,4,7,2,3,2,2,2,2,2,4,2,2,4,2,4,3,2,5,3,2,2,2,2,
8:	1257,3,9,7,4,2,2,3,4,2,3,3,3,2,4,4,2,2,4,2,3,3,2,4,3,2,2,4,2,2,2,2,2,
9:	1029,4,6,7,4,6,2,8,3,2,5,4,2,3,4,2,6,6,5,3,2,2,2,3,4,2,2,3,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,3,
10:	1340,6,10,6,3,2,7,5,3,6,3,5,2,2,2,5,2,3,6,2,3,3,2,3,3,5,2,2,2,3,2,2,2,2,
11:	1151,4,2,5,7,2,5,2,3,5,6,4,3,2,2,5,2,5,5,3,4,2,3,3,2,4,3,2,3,3,3,3,2,3,2,2,3,2,
12:	955,7,29,3,4,4,5,6,4,2,5,2,2,3,4,2,3,4,3,2,2,3,2,2,7,4,3,2,2,3,3,2,3,3,2,2,2,2,2,4,2,2,
13:	692,3,8,2,2,2,3,5,6,4,3,3,5,7,3,2,2,5,2,2,4,2,2,5,2,2,4,4,2,2,2,2,3,2,2,3,3,2,4,2,2,2,2,2,2,
14:	1110,3,9,8,3,3,4,3,4,4,3,4,5,3,5,8,3,3,3,4,4,3,2,3,2,3,2,3,3,2,3,6,2,2,3,2,2,2,3,2,2,
15:	1149,5,6,9,8,4,6,3,11,2,4,4,3,4,7,2,4,3,3,3,3,3,2,6,5,4,5,2,3,2,2,2,3,2,2,2,2,2,2,
16:	1446,7,7,12,4,3,5,3,4,3,7,2,3,5,2,3,3,4,4,3,2,3,7,3,2,7,2,6,4,4,5,3,6,3,2,2,2,2,4,3,
17:	1878,4,2,3,4,3,3,5,3,6,2,2,2,3,2,2,
18:	1602,5,2,2,8,7,3,6,5,2,6,2,3,4,2,3,3,7,3,3,5,4,2,4,5,4,3,3,3,4,3,2,2,2,4,
19:	10,1565,19,2,3,4,2,3,2,4,2,4,2,2,3,4,2,5,2,8,2,2,2,2,2,2,2,2,2,2,
20:	10,4,4,5,3,3,739,2,6,4,2,3,2,4,5,2,4,5,2,8,3,2,5,5,2,3,3,2,2,2,2,4,2,3,2,2,2,2,2,2,2,2,4,2,2,
21:	3,8,2,457,3,5,3,3,2,2,2,2,2,5,6,2,4,2,2,4,3,4,2,4,2,3,4,2,2,2,3,2,3,3,2,2,
22:	7,5,4,5,7,2,6,4,4,56,6,2,4,2,4,5,2,4,2,2,2,2,4,2,3,2,2,2,2,2,2,2,2,2,2,3,2,
23:	2,7,10,2,3,3,3,3,5,4,2,3,5,2,2,3,4,2,3,4,4,2,2,3,4,2,4,2,2,2,2,2,2,3,2,4,2,2,2,2,
